patentid,assignee_name_current
US6097829A,Polk Holding Corp
US6097829A,Viper Acquisition Corp
US6097829A,Viper Borrower Corp Inc
US6097829A,Directed Electronics Inc
US6097829A,Polk Audio Llc
US6097829A,Dei Headquarters Inc
US6097829A,Dei Holdings Inc
US6097829A,Definitive Technology Llc
US6097829A,Dei Sales Inc
US6097829A,Viper Holdings Corp
US6097829A,Directed Llc
US7681399B2,General Electric Co
US8018110B2,General Electric Co
US7006677B2,General Electric Co
US5694026A,General Electric Technology Gmbh
US5694026A,European Gas Turbines Sa
US3729446A,General Electric Co
US4539357A,General Electric Co
US5608027A,Sabic Innovative Plastics Ip Bv
US7010083B2,General Electric Co
US7010083B2,Ge Medical Systems Global Technology Co Llc
US8781556B2,Stryker European Holdings I Llc
US4017764A,General Electric Co
US6914539B2,General Electric Co
US3778170A,General Electric Co
US5457724A,General Electric Co
US2451263A,General Electric Co
US5452338A,General Electric Co
US6246744B1,General Electric Co
US6933061B2,General Electric Co
US5638682A,General Electric Co
US7465152B2,General Electric Co
US4556688A,General Electric Co
US8881398B2,"Haier Us Appliance Solutions, Inc."
US4855379A,General Electric Co
US4855379A,Witco Corp
US4330924A,General Electric Co
US8327642B2,General Electric Co
US5655876A,General Electric Co
US3681255A,General Electric Co
US7890276B2,General Electric Co
US7547393B2,General Electric Co
US2182663A,General Electric Co
US6448713B1,General Electric Co
US5133180A,General Electric Co
US5777844A,General Electric Co
US7591070B2,General Electric Co
US7688936B2,General Electric Co
US6681716B2,Sabic Innovative Plastics Ip Bv
US4258545A,General Electric Co
US6763291B1,Ge Global Sourcing Llc
US6882068B2,General Electric Co
US5202901A,Ericsson Inc
US4032807A,General Electric Co
US3805347A,General Electric Co
US2689950A,General Electric Co Ltd
US2883995A,General Electric Co
US2324462A,General Electric Co
US6630525B2,Sabic Global Technologies Bv
US7285433B2,General Electric Co
US5306318A,Diamond Innovations Inc
US5306318A,Ge Superabrasives Inc
US4281274A,General Electric Co
US6695587B2,General Electric Co
US6029336A,Regal-Beloit Electric Motors Inc
